Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
modernCookingHelper,,blocks,Block,newKey,Modern Cooking Appliances,,,,,
modernCookingHelperBlockDesc,,blocks,Block,newKey,Place these bad boys down and start cooking in modern times!,,,,,
modernCookingWallOven,,blocks,Workstation,--,Modern Wall Oven,,,,,
modernCookingOldStove,,blocks,Workstation,--,Modern Stove,,,,,
modernCookingWoodStove,,blocks,Workstation,--,Modern Wood Stone,,,,,
modernCookingCoffeeMaker,,blocks,Workstation,--,Modern Coffee Maker,,,,,
modernCookingCoffeeMakerCommercial,,blocks,Workstation,--,Modern Commercial Coffee Maker,,,,,
modernCookingCharcoalGrillClosed,,blocks,Workstation,--,"Modern Charcoal Grill (Closed)",,,,,
modernCookingCharcoalGrillOpen,,blocks,Workstation,--,"Modern Charcoal Grill (Open)",,,,,
modernCookingGasGrillClosed,,blocks,Workstation,--,"Modern Gas Grill (Closed)",,,,,
modernCookingGasGrillOpen,,blocks,Workstation,--,Modern "Modern Gas Grill (Open)",,,,,
modernCookingMicrowave,,blocks,Workstation,--,Modern Microwave,,,,,
modernCookingToaster,,blocks,Workstation,--,Modern Toaster,,,,,
